point,W,scheme,rep,seed,pairwise_infeasible,winner_scan_feasible,n_zero_win_pairs,n_positive_share_pairs,worst_slack,t_draw,t_ctx
calibration,20000,stratified,15,2000015002,false,true,0,400,1.577080282167687,0.009599924087524414,4.662014007568359
calibration,40000,plain,1,4000001001,false,true,0,400,0.6496007981825223,0.050644874572753906,7.532571077346802
calibration,40000,plain,2,4000002001,false,true,0,400,0.04419891298349299,0.010684013366699219,10.973711967468262
calibration,40000,plain,3,4000003001,false,true,0,400,1.818328589001716,0.019212007522583008,7.587543964385986
calibration,40000,plain,4,4000004001,false,true,0,400,1.6183664922397014,0.012221813201904297,7.61864709854126
calibration,40000,plain,5,4000005001,false,true,0,400,0.5636382526776256,0.010853052139282227,7.676326036453247
calibration,40000,plain,6,4000006001,false,true,0,400,0.9015950982768572,0.015228033065795898,7.573205947875977
calibration,40000,plain,7,4000007001,false,true,0,400,1.4395860975407064,0.012338876724243164,7.663599967956543
calibration,40000,plain,8,4000008001,false,true,0,400,1.425434557791851,0.010293960571289062,7.6499199867248535
calibration,40000,plain,9,4000009001,false,true,0,400,1.0634004221275806,0.010375022888183594,7.66124701499939
calibration,40000,plain,10,4000010001,false,true,0,400,1.1050125671638291,0.010300874710083008,8.352822065353394
calibration,40000,plain,11,4000011001,false,true,0,400,1.3372822930284247,0.010743141174316406,7.581518173217773
calibration,40000,plain,12,4000012001,false,true,0,400,0.255749615157292,0.010163068771362305,8.466542959213257
calibration,40000,stratified,1,4000001002,false,true,0,400,1.6689323648838776,0.0242769718170166,9.258772850036621
calibration,40000,stratified,2,4000002002,false,true,0,400,0.9107485039274081,0.0208590030670166,8.493673086166382
calibration,40000,stratified,3,4000003002,false,true,0,400,1.6227517627394752,0.019086122512817383,8.394772052764893
calibration,40000,stratified,4,4000004002,false,true,0,400,1.0509239787247164,0.019145965576171875,8.47453498840332
calibration,40000,stratified,5,4000005002,false,true,0,400,1.8454558374289718,0.02081298828125,7.631208896636963
calibration,40000,stratified,6,4000006002,false,true,0,400,1.4370246003264082,0.018908977508544922,9.22487211227417
calibration,40000,stratified,7,4000007002,false,true,0,400,1.2625158120068622,0.02485489845275879,7.595196962356567
calibration,40000,stratified,8,4000008002,false,true,0,400,1.3967469831773478,0.018863916397094727,8.455506801605225
calibration,40000,stratified,9,4000009002,false,true,0,400,1.3143127113939386,0.019602060317993164,8.48530387878418
calibration,40000,stratified,10,4000010002,false,true,0,400,0.9712790843073655,0.01889204978942871,7.628726005554199
calibration,40000,stratified,11,4000011002,false,true,0,400,1.3879754788767222,0.01907801628112793,8.523632049560547
calibration,40000,stratified,12,4000012002,false,true,0,400,1.183071322104631,0.02258610725402832,7.552086114883423
calibration,80000,plain,1,8000001001,false,true,0,400,1.507651998864464,0.034976959228515625,14.849179029464722
calibration,80000,plain,2,8000002001,false,true,0,400,1.2617966447185687,0.03582406044006348,14.793155908584595
calibration,80000,plain,3,8000003001,false,true,0,400,1.365577380651251,0.026022911071777344,14.867187023162842
calibration,80000,plain,4,8000004001,false,true,0,400,1.007595833643828,0.029533863067626953,14.885550022125244
calibration,80000,plain,5,8000005001,false,true,0,400,2.2434080751025958,0.021112918853759766,14.881123065948486
calibration,80000,plain,6,8000006001,false,true,0,400,2.0545199367829348,0.021107196807861328,14.91018295288086
calibration,80000,plain,7,8000007001,false,true,0,400,1.40070582557974,0.02112579345703125,14.912837982177734
calibration,80000,plain,8,8000008001,false,true,0,400,1.327899318236291,0.021033048629760742,15.001704931259155
calibration,80000,plain,9,8000009001,false,true,0,400,2.2582130200976067,0.031116962432861328,14.889225959777832
calibration,80000,plain,10,8000010001,false,true,0,400,1.540460746200008,0.026174068450927734,14.904678106307983
calibration,80000,stratified,1,8000001002,false,true,0,400,0.9802217623521408,0.04595494270324707,14.951394081115723
calibration,80000,stratified,2,8000002002,false,true,0,400,2.302651161910001,0.040802001953125,14.771123886108398
calibration,80000,stratified,3,8000003002,false,true,0,400,2.53593829505742,0.038583993911743164,14.981011867523193
calibration,80000,stratified,4,8000004002,false,true,0,400,1.6810748359089853,0.03859996795654297,13.318917036056519
calibration,80000,stratified,5,8000005002,false,true,0,400,2.098488153949136,0.049859046936035156,15.032335996627808
calibration,80000,stratified,6,8000006002,false,true,0,400,2.3670228474235877,0.04241800308227539,14.926793098449707
calibration,80000,stratified,7,8000007002,false,true,0,400,1.5820385829985177,0.03855395317077637,13.231956958770752
calibration,80000,stratified,8,8000008002,false,true,0,400,1.6903628838086107,0.03840899467468262,14.850745916366577
calibration,80000,stratified,9,8000009002,false,true,0,400,1.1868047485517668,0.03833293914794922,14.937021017074585
calibration,80000,stratified,10,8000010002,false,true,0,400,2.363542749589069,0.054418087005615234,14.924561023712158
upper_candidate,8000,plain,1,800001001,true,false,8,400,-1.4350362174124713,0.0028028488159179688,3.007159948348999
