direction,h,gammap_target,deltastar,nStatus,fd_slope,envelope_slope,warm
random1,0.001,0.9343346773147438,0.023302604231946945,0,-0.01472209658322926,-0.0020418307957870132,true
random1,0.003,0.9343346773147438,0.023218472264119758,0,-0.0329513548034723,-0.0020418307957870132,true
random1,0.01,0.9343346773147438,0.023213542342844628,0,-0.010378398568554673,-0.0020418307957870132,true
random1,0.03,0.9343346773147438,0.02337712983786011,0,0.0019934503109978836,-0.0020418307957870132,true
random1[COLD@hmax],-0.03,0.9343346773147438,0.023719963834247206,0,NaN,NaN,false
random2,-0.03,0.9343346773147438,0.02369133737974123,0,-0.012467035040368557,0.02272262983798977,true
random2,-0.01,0.9343346773147438,0.023338714619052958,0,-0.002138829052278357,0.02272262983798977,true
random2,-0.003,0.9343346773147438,0.023283234190838005,0,0.011364045897389874,0.02272262983798977,true
random2,-0.001,0.9343346773147438,0.02330956734734442,0,0.0077589811857542434,0.02272262983798977,true
random2,0.001,0.9343346773147438,0.023334209479408823,0,0.01688315087864864,0.02272262983798977,true
random2,0.003,0.9343346773147438,0.023316646272155732,0,-0.00022668545814757968,0.02272262983798977,true
random2,0.01,0.9343346773147438,0.02341418631765367,0,0.009685998912349614,0.02272262983798977,true
random2,0.03,0.9343346773147438,0.024508024706605718,0,0.039689945935851456,0.02272262983798977,true
random2[COLD@hmax],-0.03,0.9343346773147438,0.02369133737974127,0,NaN,NaN,false
random3,-0.03,0.9343346773147438,0.023277453618924682,0,0.001329090320183075,0.06827377721872731,true
random3,-0.01,0.9343346773147438,0.023161688749374878,0,0.015563757915529677,0.06827377721872731,true
random3,-0.003,0.9343346773147438,0.02324194953236116,0,0.025125598723004888,0.06827377721872731,true
random3,-0.001,0.9343346773147438,0.02329257965401923,0,0.0247466745109462,0.06827377721872731,true
random3,0.001,0.9343346773147438,0.023339094653868016,0,0.02176832533784187,0.06827377721872731,true
random3,0.003,0.9343346773147438,0.02339079487832455,0,0.02448951659812561,0.06827377721872731,true
random3,0.01,0.9343346773147438,0.02353841904514433,0,0.022109271661415603,0.06827377721872731,true
random3,0.03,0.9343346773147438,0.02438006749476154,0,0.03542470554104549,0.06827377721872731,true
random3[COLD@hmax],-0.03,0.9343346773147438,0.023277453618924696,0,NaN,NaN,false
