gamma_target,direction_id,h,ad_slope,fixed_dual_fd_slope,boundary_slope,full_profile_slope,fd_minus_profile,boundary_minus_profile,winner_switch_count,statusp,statusm
0.9609650007465946,random_6,0.03,-0.0002674259960048769,-0.0006543037736066937,-0.000675170888826821,-0.0006904402587765351,3.613648516984135e-5,1.526936994971414e-5,470,0,0
0.9609650007465946,random_6,0.1,-0.0002674259960048769,-0.000670425765119767,-0.000675170888826821,-0.0009056481017184718,0.00023522233659870474,0.0002304772128916508,1574,0,0
0.9609650007465946,random_7,0.03,-0.00020659754869022933,-0.0010145883104054423,-0.0010057348112672555,-0.0010639574173804801,4.936910697503783e-5,5.822260611322463e-5,796,0,0
0.9609650007465946,random_7,0.1,-0.00020659754869022933,-0.0010115380133192578,-0.0010057348112672555,-0.0016015810396036677,0.0005900430262844099,0.0005958462283364122,2599,0,0
0.9609650007465946,random_8,0.03,-0.0002724448094938137,-0.0007744645285007854,-0.0008134528038675176,-0.0008259408457194952,5.14763172187098e-5,1.2488041851977673e-5,410,0,0
0.9609650007465946,random_8,0.1,-0.0002724448094938137,-0.0008099013707737779,-0.0008134528038675176,-0.0008989359187115621,8.903454793778422e-5,8.548311484404456e-5,1494,0,0
0.9609650007465946,random_9,0.03,-0.00019765140970733004,-0.0006649863760614874,-0.0006626388416854363,-0.0006951511160819406,3.0164740020453178e-5,3.2512274396504274e-5,378,0,0
0.9609650007465946,random_9,0.1,-0.00019765140970733004,-0.0006613479972818021,-0.0006626388416854363,-0.0008741497631683214,0.00021280176588651923,0.00021151092148288505,1262,0,0
0.9609650007465946,random_10,0.03,4.1737939494986016e-5,-0.00011199610494646684,-9.350846786203591e-5,-0.00015026505242118503,3.826894747471818e-5,5.6756584559149116e-5,894,0,0
0.9609650007465946,random_10,0.1,4.1737939494986016e-5,-0.00010335916674250047,-9.350846786203591e-5,-0.0007912847236319254,0.0006879255568894249,0.0006977762557698894,2993,0,0
0.9447352700891315,neg_fd_grad,0.03,-0.1398171783237899,-0.07447994723569634,-0.0688611216237076,-0.07460073148994155,0.000120784254245207,0.005739609866233952,486,0,0
0.9447352700891315,neg_fd_grad,0.1,-0.1398171783237899,-0.06824747546318624,-0.0688611216237076,-0.06897220993301315,0.0007247344698269043,0.0001110883093055487,1730,0,0
0.9447352700891315,neg_boundary_grad,0.03,-0.13823336231243047,-0.07491902516059794,-0.06887750455879187,-0.0750328558721744,0.00011383071157645974,0.006155351313382532,472,0,0
0.9447352700891315,neg_boundary_grad,0.1,-0.13823336231243047,-0.06826066643479109,-0.06887750455879187,-0.0689587068344043,0.0006980403996132145,8.120227561243809e-5,1696,0,0
0.9447352700891315,coord_1,0.03,-0.023700887681718387,0.020499134171682656,0.02398639319938336,0.02051989247335538,-2.075830167272419e-5,0.003466500726027978,408,0,0
0.9447352700891315,coord_1,0.1,-0.023700887681718387,0.022785890869901314,0.02398639319938336,0.02292892511081491,-0.00014303424091359485,0.00105746808856845,1456,0,0
0.9447352700891315,coord_2,0.03,0.17987043046054485,0.06268279491827417,0.05983728728656075,0.0627969145463476,-0.00011411962807343634,-0.002959627259786851,818,0,0
0.9447352700891315,coord_2,0.1,0.17987043046054485,0.06075900970188293,0.05983728728656075,0.06165465365058482,-0.0008956439487018894,-0.0018173663640240686,2754,0,0
0.9447352700891315,coord_3,0.03,-0.022915278138413136,0.02014866145268873,0.0197271438275581,0.020153697267992488,-5.035815303758989e-6,-0.00042655344043438653,401,0,0
0.9447352700891315,coord_3,0.1,-0.022915278138413136,0.0202396316989897,0.0197271438275581,0.02041491360180666,-0.00017528190281695943,-0.0006877697742485589,1406,0,0
0.9447352700891315,coord_4,0.03,-0.015679096049572187,0.014292412573911733,0.014110365768590184,0.014308589944581989,-1.6177370670255806e-5,-0.00019822417599180478,295,0,0
0.9447352700891315,coord_4,0.1,-0.015679096049572187,0.014044376216268105,0.014110365768590184,0.014095212978199427,-5.083676193132214e-5,1.5152790390757231e-5,988,0,0
0.9447352700891315,random_1,0.03,-0.025377267165223778,-0.018704585599481467,-0.01699651125822778,-0.018731630226656235,2.7044627174767355e-5,0.0017351189684284563,568,0,0
0.9447352700891315,random_1,0.1,-0.025377267165223778,-0.017334202296262514,-0.01699651125822778,-0.017424791417836802,9.058912157428739e-5,0.00042828015960902355,1968,0,0
