call,norm_gradient,norm_step
193,3.017524525225933e12,0.00048008480758005966
194,2.9969271586192363e12,0.00024004240379033907
195,2.9879831435013203e12,0.00024000946694179137
196,2.9879831461637554e12,1.7222709212173943e-8
197,2.9879831474950874e12,8.611354994390042e-9
198,2.987983148160597e12,4.3056780908961906e-9
199,2.8084216639498516e12,2.152839277170877e-9
200,3.497450758675799e12,0.24582936378521955
201,3.229481982371814e12,0.1229146818926099
202,3.306840759154712e12,0.061457340946304645
203,3.1518155093859385e12,0.03072867047315264
204,3.092370933379429e12,0.015364335236576057
205,3.0022884317451533e12,0.007682167618288271
206,3.017900104562761e12,0.003841083809143787
207,3.0179667737692173e12,0.0019205419045723385
208,3.0175076725629043e12,0.0009602709522858083
209,3.0175245322464277e12,0.000480135476142939
210,2.996927161934768e12,0.00024006773807157543
211,2.9879831463216836e12,0.00024005323139458456
212,2.9879831474066274e12,7.527541253539132e-9
213,2.987983147948865e12,3.76377049243385e-9
214,2.987983148219805e12,1.8818855700782582e-9
215,2.808421663565767e12,9.409423287978376e-10
216,3.484760232853765e12,0.31870428137812573
217,3.448461920196759e12,0.15935214068906312
218,3.261306279067538e12,0.07967607034453128
219,3.2164894913541724e12,0.03983803517226558
220,3.086161446087582e12,0.019919017586132962
221,3.0012038782467764e12,0.00995950879306616
222,3.017358764370923e12,0.004979754396533568
223,3.017696145482982e12,0.0024898771982665023
224,3.0173725850851074e12,0.001244938599133303
225,3.01745699104268e12,0.0006224692995666261
226,2.9968934306078906e12,0.00031123464978307557
227,2.9879831468940356e12,0.00031122916269674133
228,2.9879831476244595e12,3.360792957124097e-9
229,2.987983147989076e12,1.6803963938839372e-9
230,2.9879831481722344e12,8.401983992130273e-10
231,2.8084216634098037e12,4.200990813865321e-10
