g,start_id,start_kind,knitro_status,n_eval,wall,best_Delta,best_gravity,best_kkt,aod1,aod2,aod3,aod4,aod5,aod6,aod7,aod8,aod9,aod10,aod11,aod12,aod13,aod14,aod15,aod16,zf1,zf2,zf3,zf4,zf5,zf6,zf7,zf8,zf9,zf10,zf11,zf12,zf13,zf14,zf15
0.945,2,incumbent,-101,254,8.145724058151245,0.03703787725243831,-4.943284280176097e-18,7.431388837630948e-14,1.2377242614297082,1.131153907107007,1.1506385880283987,1.449810360555234,2.8111608039457354,2.3586142252793083,2.4615248038242123,2.9934645229485746,1.9856573349630282,1.7951330869622222,1.8456629066928552,2.2837892999912652,3.9218060121117966,3.842057945676777,2.432679494105317,3.986215916217999,0.21327442039944156,0.12323826843024738,0.1403170821942695,0.37143276205529474,1.033597495533963,0.858074253894122,0.9007809968763835,1.0964314199512828,0.6859500104356008,0.5850791623462157,0.6128385119805723,0.8258360370967774,1.3665522650801656,1.3460081463973301,0.8889933223270304
0.945,3,calib,-101,148,4.734741926193237,0.03599009107206177,-2.5648157642860214e-18,3.145927962577844e-14,1.2492664450426627,1.1713510829933431,1.1882730096608825,1.3695516848478124,2.856608222535838,2.3985349861554077,2.611347720849943,2.9108109231877677,2.011652749261547,1.8792669107393065,1.8892770342182201,2.1740627382476956,3.866731097846966,3.9060771422263083,2.683944206590969,3.9097348157563028,0.22255653508802323,0.1581578543627554,0.1725010006509273,0.31448344894884933,1.0496349848766942,0.8748581285350261,0.9598664562041901,1.0684317101248717,0.6989566475119091,0.6308817596989452,0.6361942343138485,0.7765976467222234,1.3524094725416633,1.362533581933379,0.987287431483154
0.945,4,incumbent+0.5r,0,1,0.026412010192871094,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.945,5,incumbent+1.5r,0,1,0.018472909927368164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.945,6,calib+0.5r,0,1,0.019964933395385742,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.945,7,calib+1.5r,0,1,0.024948835372924805,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.945,8,uniform[-2,2]#1,0,1,0.01857900619506836,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.945,9,uniform[-2,2]#2,0,1,0.018131017684936523,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.95,1,continuation,-101,84,2.6153929233551025,0.016953781777395618,-4.865357249028701e-18,2.8062885348845157e-14,1.2973291139821528,1.1693323605238113,1.2291489352978744,1.4289272804511335,2.8878517669313384,2.48068164031805,2.60249151277974,2.9812246886131177,2.0867231814009424,1.8628426589379699,1.9590006202559738,2.27862274294753,4.031400136476588,3.8554826925999426,2.907778660531122,4.035464119130074,0.26030762332416757,0.15643295390631373,0.20632200737340634,0.35692400923518963,1.0605128924734506,0.9085333773781398,0.9564692603219344,1.0923341854258075,0.7355949798156104,0.6221036323029817,0.6724344555810232,0.8235712003378035,1.3941137440254194,1.349496211265096,1.0673894427892854
0.95,2,incumbent,-102,229,7.022455930709839,0.016786467301229475,-5.522654816098038e-18,3.91441545843918e-13,1.2916382007990235,1.1598070668896292,1.241536017871635,1.413299751194172,2.8501462900401986,2.468634255200582,2.668668240591788,2.9706345932929015,2.0836005880226405,1.8446419533470264,1.9743056819164762,2.262100850649067,4.042518893421997,3.8144313391507505,2.9753177036977707,4.035224534083992,0.25591133580327974,0.1482536696384229,0.21634933712128157,0.3459272193459412,1.0473703228018942,0.9036650645988229,0.981579561681684,1.0887755977662879,0.7340974491036035,0.6122851954332421,0.6802167830836688,0.8162939614255532,1.396867986155667,1.338791594425666,1.0903508244547377
