target,scramble,seed,W,m,policy,h,cplus,cminus,cmin,secant_fixed_dual,secant_reopt,boundary_p,boundary_m,leverage
0.1,held_out_2,271,80000,2,B_alpha_half_anchor25,0.000753037982626973,28,26,26,-0.03161817773317357,-0.030495902729107845,false,false,0.07251655396717029
0.1,held_out_2,271,80000,2,C_target25,0.000736764872927537,28,25,25,-0.032266531541540126,-0.030821343955335395,false,false,0.07251655396717029
0.1,held_out_2,271,80000,4,B_alpha_half_anchor25,0.00012373084539778453,24,26,24,1.2582138171901318,1.2592953786404066,false,false,1.5901957092207055
0.1,held_out_2,271,80000,4,C_target25,0.0001283190880864945,25,26,25,1.2136511861819732,1.215288375724394,false,false,1.5901957092207055
0.1,held_out_2,271,80000,13,B_alpha_half_anchor25,0.0009100095722984232,23,27,23,0.14377398692946494,0.1436220908596562,false,false,0.3071677326761748
0.1,held_out_2,271,80000,13,C_target25,0.0009931111159397533,25,29,25,0.126361573841978,0.12619127890816442,false,false,0.3071677326761748
0.1,held_out_2,271,80000,11,B_alpha_half_anchor25,0.00023829618957962675,26,24,24,-0.6597463289152709,-0.6580808765219449,false,false,0.760287900075816
0.1,held_out_2,271,80000,11,C_target25,0.00025075851886043884,27,25,25,-0.6352478043058335,-0.6336723790526396,false,false,0.760287900075816
0.1,held_out_2,271,80000,6,B_alpha_half_anchor25,0.0001452300313988595,25,24,24,-0.8148475037476952,-0.8152979671664625,false,false,1.1372293674543315
0.1,held_out_2,271,80000,6,C_target25,0.0001484377633625393,25,25,25,-0.7971888114154856,-0.7976737206024648,false,false,1.1372293674543315
0.1,held_out_2,271,320000,2,B_alpha_half_anchor25,0.0003765189913134865,59,50,50,-0.06279277131948603,-0.06194711603593426,false,false,0.07251655396717029
0.1,held_out_2,271,320000,2,C_target25,0.0001755033900111121,27,25,25,-0.052679952565123964,-0.052588038339008,false,false,0.07251655396717029
0.1,held_out_2,271,320000,4,B_alpha_half_anchor25,6.186542269889226e-5,53,51,51,1.199814330479579,1.200410597752811,false,false,1.5901957092207055
0.1,held_out_2,271,320000,4,C_target25,3.124178456097416e-5,25,27,25,1.090276053924067,1.0908910128197844,false,false,1.5901957092207055
0.1,held_out_2,271,320000,13,B_alpha_half_anchor25,0.0004550047861492116,51,49,49,0.1465722769077015,0.14658658370517272,false,false,0.3071677326761748
0.1,held_out_2,271,320000,13,C_target25,0.00021677168761633316,25,25,25,0.14774834805578935,0.14776373889695069,false,false,0.3071677326761748
0.1,held_out_2,271,320000,11,B_alpha_half_anchor25,0.00011914809478981337,48,50,48,-0.6205740909019553,-0.6211647176543165,false,false,0.760287900075816
0.1,held_out_2,271,320000,11,C_target25,6.060906826857519e-5,26,25,25,-0.5835670127962493,-0.5839275737117923,false,false,0.760287900075816
0.1,held_out_2,271,320000,6,B_alpha_half_anchor25,7.261501569942975e-5,46,54,46,-0.8141005150314874,-0.8146039498914623,false,false,1.1372293674543315
