point,direction,h,objA_registered,objB_fixed_dual_raw,objC_fd_Delta,ratio_A_vs_C,ratio_B_vs_C,switch_bp,switch_bm,switch_pm,cells_with_switches,min_dist_to_draw,link_switch_bp,link_switch_bm,link_switch_pm,Delta_base,eval_p_Delta,eval_m_Delta,eval_p_nStatus,eval_m_nStatus
mixed_Af_radius_0.002,mixed,3.0e-7,1.946262900212115e8,1.9462629001684642e8,1.9462629004654428e8,0.9999999998698389,0.9999999998474108,0,0,0,0,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.0001002221208520475,0.00010021044327464471,0,0
mixed_Af_radius_0.002,mixed,1.0e-6,1.9462629014600116e8,1.9462628996296555e8,1.9462629056314403e8,0.9999999978566982,0.9999999969162517,0,0,0,0,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.00010023574915169281,0.00010019682389358018,0,0
mixed_Af_radius_0.002,mixed,3.0e-6,1.9462629054407844e8,1.9462628996998924e8,1.9462629528699028e8,0.9999999756306729,0.9999999726809728,0,0,0,0,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.0001002747136137519,0.0001001579378365797,0,0
mixed_Af_radius_0.002,mixed,1.0e-5,4.201812906779326e8,1.9462628997516003e8,1.9462634905602062e8,2.1589126688955615,0.9999996964395578,0,0,0,0,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.00010041139800302127,0.00010002214530490923,0,0
mixed_Af_radius_0.002,mixed,3.0e-5,1.3252724383616426e9,5.188947608148485e8,5.146358068065883e8,2.57516562359935,1.0082756659212808,1,2,3,2,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.00010144452572606118,9.835671088522165e-5,0,0
mixed_Af_radius_0.002,mixed,0.0001,9.850998655530821e8,1.1860749669406824e9,1.1344151885824432e9,0.8683768301657311,1.0455386871386947,4,9,13,3,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.00010482406904556725,8.213576527391838e-5,0,0
mixed_Af_radius_0.002,mixed,0.0003,1.0130459031448296e9,1.0281192058394513e9,1.0165234590553101e9,0.9965789713168919,1.0114072594005037,18,20,38,4,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.00013113652344131429,7.014511589799568e-5,0,0
mixed_Af_radius_0.002,mixed,0.001,1.058282861749779e9,1.0003607958972675e9,9.65793690961003e8,1.095764935777066,1.035791396506089,61,66,127,4,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.0002172463954656558,2.4087657273455197e-5,0,0
mixed_Af_radius_0.002,ordinary_technology,1.0e-7,2.2790460227432303e7,2.2788658058270812e7,2.2788658055061545e7,1.0000790819874696,1.0000000001408273,0,0,0,0,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.00010021650951121538,0.00010021605373805428,0,0
mixed_Af_radius_0.002,ordinary_technology,3.0e-7,2.2788657995098658e7,2.2788657996958744e7,2.278865798142615e7,1.0000000005999699,1.0000000006815932,0,0,0,0,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.00010021696530290557,0.00010021559798342668,0,0
mixed_Af_radius_0.002,ordinary_technology,1.0e-6,2.2788658001871023e7,2.278865800204221e7,2.2788658018334195e7,0.9999999992775717,0.9999999992850837,0,0,0,0,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.00010021856071973687,0.0001002140029881332,0,0
mixed_Af_radius_0.002,ordinary_technology,3.0e-6,2.2788657999373015e7,2.2788657999558683e7,2.278865800697266e7,0.9999999996665164,0.9999999996746638,0,0,0,0,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.00010022312030425925,0.00010020944710945507,0,0
mixed_Af_radius_0.002,ordinary_technology,1.0e-5,2.278865800196261e7,2.2788658001908332e7,2.278865801497317e7,0.9999999994290774,0.9999999994266956,0,0,0,0,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.00010023909344189834,0.0001001935161258684,0,0
mixed_Af_radius_0.002,ordinary_technology,3.0e-5,1.3495025920095825e8,1.3495025920095116e8,1.3057112772896141e8,1.0335382832955768,1.0335382832955224,0,1,1,1,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.00010028485605079063,9.950142928441686e-5,0,0
mixed_Af_radius_0.002,ordinary_technology,0.0001,5.643833318012575e7,5.643833318012068e7,5.470813570739436e7,1.031625962946084,1.0316259629459912,0,1,1,1,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.00010044648437306154,9.935232165891365e-5,0,0
mixed_Af_radius_0.002,ordinary_technology,0.0003,1.0340298703461213e8,1.0340298703461227e8,1.0332531521479437e8,1.000751721102,1.0007517211020014,4,4,8,2,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.00010371649751608103,9.751697860319337e-5,0,0
mixed_Af_radius_0.002,ordinary_technology,0.001,9.727539248930225e7,9.72753924893026e7,1.017236689037314e8,0.9562709793859393,0.9562709793859427,14,12,26,2,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.00011491817508376502,9.457344130301874e-5,0,0
mixed_Af_radius_0.002,ordinary_participation,1.0e-7,0.0,0.0,0.0,NaN,NaN,0,0,0,0,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.00010021628162231727,0.00010021628162231727,0,0
mixed_Af_radius_0.002,ordinary_participation,3.0e-7,0.0,0.0,0.0,NaN,NaN,0,0,0,0,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.00010021628162231727,0.00010021628162231727,0,0
mixed_Af_radius_0.002,ordinary_participation,1.0e-6,0.0,0.0,0.0,NaN,NaN,0,0,0,0,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.00010021628162231727,0.00010021628162231727,0,0
