config,nStatus,terminal_reason,wall,n_fc,n_ga,n_inner_solved,n_above_cap,n_numerical_failure,dg,dlogA,dlogf,Delta,incumbent_source,cold_verified_theta,seed,delta_budget,direction,restriction
D4_seed49_delta0.001_lower_gamma_technology,-400,iter_limit_feas,6.295111962,26,26,26,0,0,0.001011559374777718,0.0001747351268233766,0.0,0.00010966757125993212,cold_verified,"-0.05844290389938229;0.3050163283167721;0.35458731824320344;0.3587185965254402;0.48308618821051896;0.4689600180636365;0.47614589028211723;0.4303777614681054;0.4638888044192182;0.5139059751655835;0.427690107259464;0.4459522358110331;0.6489969563437058;0.46156593957988273;0.581071425455229;0.5503809727860448;-0.6866842900403047;-0.7736662756395609;-0.31441944448969633;-0.5314428296706433;-0.4041340419167686;-0.6498119948678365;-0.6947685687823564;-0.3017041362865982;-0.517027297429466;-0.5546960141122886;-0.37691753314050125;-0.811882225167067;-0.3341582203022017;-0.47322908678284265",49,0.001,lower,gamma_technology
D4_seed49_delta0.001_lower_gamma_participation,-400,iter_limit_feas,6.14640115,26,26,26,0,0,0.0009175950637246577,0.0,0.00018006844249227486,9.918120904540009e-5,cold_verified,"-0.05853686821043535;0.30504545383365417;0.35462117721390396;0.3587528499852358;0.4831323173309102;0.4690047982988407;0.4761913566846612;0.4304188575459006;0.4639331004124166;0.5139550472176866;0.4277309466974968;0.44599481907024546;0.6490589280155593;0.4616100137664668;0.5811269110277726;0.5504335277767987;-0.6866248162132814;-0.7735992682900139;-0.31439221257551747;-0.5313968013292598;-0.4040990398081551;-0.6497557145557032;-0.6947083947747661;-0.30167800564712677;-0.5169825176194431;-0.554647971809192;-0.3768848882577026;-0.8118119079285293;-0.3341292788097562;-0.47318810034226444",49,0.001,lower,gamma_participation
D4_seed49_delta0.01_upper_gamma_only,-200,infeasible,2.39624109,14,14,10,8,0,-0.006434566064182877,0.0,0.0,0.0025793669040807634,cold_verified,"-0.06588902933834288;0.30504545383365417;0.35462117721390396;0.3587528499852358;0.4831323173309102;0.4690047982988407;0.4761913566846612;0.4304188575459006;0.4639331004124166;0.5139550472176866;0.4277309466974968;0.44599481907024546;0.6490589280155593;0.4616100137664668;0.5811269110277726;0.5504335277767987;-0.6866842900403047;-0.7736662756395609;-0.31441944448969633;-0.5314428296706433;-0.4041340419167686;-0.6498119948678365;-0.6947685687823564;-0.3017041362865982;-0.517027297429466;-0.5546960141122886;-0.37691753314050125;-0.811882225167067;-0.3341582203022017;-0.47322908678284265",49,0.01,upper,gamma_only
D4_seed49_delta0.01_upper_gamma_technology,-400,iter_limit_feas,5.807645055,26,26,26,0,0,-0.000922668357431114,0.0001795299604252161,0.0,5.476625664018591e-5,cold_verified,"-0.06037713163159112;0.30501552909563345;0.35458638913333645;0.35871765659056276;0.4830849224006014;0.4689587892679138;0.47614464265756323;0.43037663376780666;0.463887588911378;0.5139046285999065;0.4276889866015098;0.44595106730161055;0.6489952558049534;0.46156473015854516;0.5810699028988175;0.5503795306465038;-0.6866842900403047;-0.7736662756395609;-0.31441944448969633;-0.5314428296706433;-0.4041340419167686;-0.6498119948678365;-0.6947685687823564;-0.3017041362865982;-0.517027297429466;-0.5546960141122886;-0.37691753314050125;-0.811882225167067;-0.3341582203022017;-0.47322908678284265",49,0.01,upper,gamma_technology
D4_seed49_delta0.01_upper_gamma_participation,-400,iter_limit_feas,5.623813387,26,26,26,0,0,-0.0008328111778054814,0.0,0.00018409227009057416,4.30314151493064e-5,cold_verified,"-0.06028727445196549;0.30504545383365417;0.35462117721390396;0.3587528499852358;0.4831323173309102;0.4690047982988407;0.4761913566846612;0.4304188575459006;0.4639331004124166;0.5139550472176866;0.4277309466974968;0.44599481907024546;0.6490589280155593;0.4616100137664668;0.5811269110277726;0.5504335277767987;-0.6866234872051374;-0.7735977709370149;-0.3143916040484135;-0.5313957727752956;-0.4040982576475017;-0.6497544569101654;-0.6947070501203164;-0.30167742172921863;-0.5169815169652867;-0.554646898251036;-0.37688415877185527;-0.8118103366124166;-0.3341286320802436;-0.4731871844551247",49,0.01,upper,gamma_participation
D4_seed49_delta0.01_lower_gamma_only,-200,infeasible,2.504693141,12,12,9,6,0,0.006527374481353848,0.0,0.0,0.007016271097700061,cold_verified,"-0.05292708879280616;0.30504545383365417;0.35462117721390396;0.3587528499852358;0.4831323173309102;0.4690047982988407;0.4761913566846612;0.4304188575459006;0.4639331004124166;0.5139550472176866;0.4277309466974968;0.44599481907024546;0.6490589280155593;0.4616100137664668;0.5811269110277726;0.5504335277767987;-0.6866842900403047;-0.7736662756395609;-0.31441944448969633;-0.5314428296706433;-0.4041340419167686;-0.6498119948678365;-0.6947685687823564;-0.3017041362865982;-0.517027297429466;-0.5546960141122886;-0.37691753314050125;-0.811882225167067;-0.3341582203022017;-0.47322908678284265",49,0.01,lower,gamma_only
D4_seed49_delta0.01_lower_gamma_technology,-400,iter_limit_feas,6.487884357,26,26,26,0,0,0.001011559374777718,0.0001747351268233766,0.0,0.00010966757125993212,cold_verified,"-0.05844290389938229;0.3050163283167721;0.35458731824320344;0.3587185965254402;0.48308618821051896;0.4689600180636365;0.47614589028211723;0.4303777614681054;0.4638888044192182;0.5139059751655835;0.427690107259464;0.4459522358110331;0.6489969563437058;0.46156593957988273;0.581071425455229;0.5503809727860448;-0.6866842900403047;-0.7736662756395609;-0.31441944448969633;-0.5314428296706433;-0.4041340419167686;-0.6498119948678365;-0.6947685687823564;-0.3017041362865982;-0.517027297429466;-0.5546960141122886;-0.37691753314050125;-0.811882225167067;-0.3341582203022017;-0.47322908678284265",49,0.01,lower,gamma_technology
D4_seed49_delta0.01_lower_gamma_participation,-400,iter_limit_feas,6.531804079,26,26,26,0,0,0.0009175950637246577,0.0,0.00018006844249227486,9.918120904540009e-5,cold_verified,"-0.05853686821043535;0.30504545383365417;0.35462117721390396;0.3587528499852358;0.4831323173309102;0.4690047982988407;0.4761913566846612;0.4304188575459006;0.4639331004124166;0.5139550472176866;0.4277309466974968;0.44599481907024546;0.6490589280155593;0.4616100137664668;0.5811269110277726;0.5504335277767987;-0.6866248162132814;-0.7735992682900139;-0.31439221257551747;-0.5313968013292598;-0.4040990398081551;-0.6497557145557032;-0.6947083947747661;-0.30167800564712677;-0.5169825176194431;-0.554647971809192;-0.3768848882577026;-0.8118119079285293;-0.3341292788097562;-0.47318810034226444",49,0.01,lower,gamma_participation
D4_seed49_delta1.0_upper_gamma_only,-200,infeasible,2.733911223,14,14,10,8,0,-0.04073456606418289,0.0,0.0,0.06380476077844653,cold_verified,"-0.1001890293383429;0.30504545383365417;0.35462117721390396;0.3587528499852358;0.4831323173309102;0.4690047982988407;0.4761913566846612;0.4304188575459006;0.4639331004124166;0.5139550472176866;0.4277309466974968;0.44599481907024546;0.6490589280155593;0.4616100137664668;0.5811269110277726;0.5504335277767987;-0.6866842900403047;-0.7736662756395609;-0.31441944448969633;-0.5314428296706433;-0.4041340419167686;-0.6498119948678365;-0.6947685687823564;-0.3017041362865982;-0.517027297429466;-0.5546960141122886;-0.37691753314050125;-0.811882225167067;-0.3341582203022017;-0.47322908678284265",49,1.0,upper,gamma_only
D4_seed49_delta1.0_upper_gamma_technology,-400,iter_limit_feas,6.359807651,26,26,26,0,0,-0.000922668357431114,0.0001795299604252161,0.0,5.476625664018591e-5,cold_verified,"-0.06037713163159112;0.30501552909563345;0.35458638913333645;0.35871765659056276;0.4830849224006014;0.4689587892679138;0.47614464265756323;0.43037663376780666;0.463887588911378;0.5139046285999065;0.4276889866015098;0.44595106730161055;0.6489952558049534;0.46156473015854516;0.5810699028988175;0.5503795306465038;-0.6866842900403047;-0.7736662756395609;-0.31441944448969633;-0.5314428296706433;-0.4041340419167686;-0.6498119948678365;-0.6947685687823564;-0.3017041362865982;-0.517027297429466;-0.5546960141122886;-0.37691753314050125;-0.811882225167067;-0.3341582203022017;-0.47322908678284265",49,1.0,upper,gamma_technology
D4_seed49_delta1.0_upper_gamma_participation,-400,iter_limit_feas,6.438130644,26,26,26,0,0,-0.0008328111778054814,0.0,0.00018409227009057416,4.30314151493064e-5,cold_verified,"-0.06028727445196549;0.30504545383365417;0.35462117721390396;0.3587528499852358;0.4831323173309102;0.4690047982988407;0.4761913566846612;0.4304188575459006;0.4639331004124166;0.5139550472176866;0.4277309466974968;0.44599481907024546;0.6490589280155593;0.4616100137664668;0.5811269110277726;0.5504335277767987;-0.6866234872051374;-0.7735977709370149;-0.3143916040484135;-0.5313957727752956;-0.4040982576475017;-0.6497544569101654;-0.6947070501203164;-0.30167742172921863;-0.5169815169652867;-0.554646898251036;-0.37688415877185527;-0.8118103366124166;-0.3341286320802436;-0.4731871844551247",49,1.0,upper,gamma_participation
D4_seed49_delta1.0_lower_gamma_only,-200,infeasible,2.536280107,13,13,9,8,0,0.006527374481353848,0.0,0.0,0.007016271097700061,cold_verified,"-0.05292708879280616;0.30504545383365417;0.35462117721390396;0.3587528499852358;0.4831323173309102;0.4690047982988407;0.4761913566846612;0.4304188575459006;0.4639331004124166;0.5139550472176866;0.4277309466974968;0.44599481907024546;0.6490589280155593;0.4616100137664668;0.5811269110277726;0.5504335277767987;-0.6866842900403047;-0.7736662756395609;-0.31441944448969633;-0.5314428296706433;-0.4041340419167686;-0.6498119948678365;-0.6947685687823564;-0.3017041362865982;-0.517027297429466;-0.5546960141122886;-0.37691753314050125;-0.811882225167067;-0.3341582203022017;-0.47322908678284265",49,1.0,lower,gamma_only
D4_seed49_delta1.0_lower_gamma_technology,-400,iter_limit_feas,6.353915391,26,26,26,0,0,0.001011559374777718,0.0001747351268233766,0.0,0.00010966757125993212,cold_verified,"-0.05844290389938229;0.3050163283167721;0.35458731824320344;0.3587185965254402;0.48308618821051896;0.4689600180636365;0.47614589028211723;0.4303777614681054;0.4638888044192182;0.5139059751655835;0.427690107259464;0.4459522358110331;0.6489969563437058;0.46156593957988273;0.581071425455229;0.5503809727860448;-0.6866842900403047;-0.7736662756395609;-0.31441944448969633;-0.5314428296706433;-0.4041340419167686;-0.6498119948678365;-0.6947685687823564;-0.3017041362865982;-0.517027297429466;-0.5546960141122886;-0.37691753314050125;-0.811882225167067;-0.3341582203022017;-0.47322908678284265",49,1.0,lower,gamma_technology
