point,direction,step_type,epsilon,obj_old,obj_new,improves_objective,Delta0,Delta_new,within_budget,delta_budget,status
seed29_delta0.01_lower_g-0.03,lower,pure_objective,3.0e-6,0.03003995761504758,0.030036957615047582,false,0.010072333822915303,0.010073471084601349,false,0.01,FiniteSolved
seed29_delta0.01_lower_g-0.03,lower,pure_objective,1.0e-5,0.03003995761504758,0.030029957615047582,false,0.010072333822915303,0.010083493646254453,false,0.01,FiniteSolved
seed29_delta0.01_lower_g-0.03,lower,pure_objective,3.0e-5,0.03003995761504758,0.030009957615047583,false,0.010072333822915303,0.010098453956227821,false,0.01,FiniteSolved
seed29_delta0.01_lower_g-0.03,lower,pure_objective,0.0001,0.03003995761504758,0.029939957615047582,false,0.010072333822915303,0.010162173860161171,false,0.01,FiniteSolved
seed29_delta0.01_lower_g-0.03,lower,random_tangent_2,1.0e-6,0.03003995761504758,0.03003975908061791,false,0.010072333822915303,0.010021054748375386,false,0.01,FiniteSolved
seed29_delta0.01_lower_g-0.03,lower,random_tangent_2,3.0e-6,0.03003995761504758,0.03003936201175857,false,0.010072333822915303,0.010021244804946245,false,0.01,FiniteSolved
seed29_delta0.01_lower_g-0.03,lower,random_tangent_2,1.0e-5,0.03003995761504758,0.03003797227075087,false,0.010072333822915303,0.010075477700196029,false,0.01,FiniteSolved
seed29_delta0.01_lower_g-0.03,lower,random_tangent_2,3.0e-5,0.03003995761504758,0.03003400158215745,false,0.010072333822915303,0.010084755541006088,false,0.01,FiniteSolved
seed29_delta0.01_lower_g-0.03,lower,random_tangent_2,0.0001,0.03003995761504758,0.030020104172080477,true,0.010072333822915303,0.009993011583661136,true,0.01,FiniteSolved
seed29_delta0.01_lower_g-0.03,lower,random_tangent_1,1.0e-6,0.03003995761504758,0.03003985040155395,false,0.010072333822915303,0.010072284740018166,false,0.01,FiniteSolved
seed29_delta0.01_lower_g-0.03,lower,random_tangent_1,3.0e-6,0.03003995761504758,0.03003963597456669,false,0.010072333822915303,0.010072186578841135,false,0.01,FiniteSolved
seed29_delta0.01_lower_g-0.03,lower,random_tangent_1,1.0e-5,0.03003995761504758,0.03003888548011128,false,0.010072333822915303,0.010071843063201505,false,0.01,FiniteSolved
seed29_delta0.01_lower_g-0.03,lower,random_tangent_1,3.0e-5,0.03003995761504758,0.030036741210238676,false,0.010072333822915303,0.010070531999771643,false,0.01,FiniteSolved
seed29_delta0.01_lower_g-0.03,lower,random_tangent_1,0.0001,0.03003995761504758,0.030029236265684562,false,0.010072333822915303,0.010028082803441422,false,0.01,FiniteSolved
seed29_delta0.01_lower_g-0.03,lower,objective_gradient,1.0e-6,0.03003995761504758,0.03003895761504758,false,0.010072333822915303,0.010072712872735775,false,0.01,FiniteSolved
seed29_delta0.01_lower_g-0.03,lower,objective_gradient,3.0e-6,0.03003995761504758,0.030036957615047582,false,0.010072333822915303,0.010073471084601349,false,0.01,FiniteSolved
seed29_delta0.01_lower_g-0.03,lower,objective_gradient,1.0e-5,0.03003995761504758,0.030029957615047582,false,0.010072333822915303,0.010083493646254453,false,0.01,FiniteSolved
seed29_delta0.01_lower_g-0.03,lower,objective_gradient,3.0e-5,0.03003995761504758,0.030009957615047583,false,0.010072333822915303,0.010098453956227821,false,0.01,FiniteSolved
seed29_delta0.01_lower_g-0.03,lower,objective_gradient,0.0001,0.03003995761504758,0.029939957615047582,false,0.010072333822915303,0.010162173860161171,false,0.01,FiniteSolved
seed29_delta0.1_upper_g-0.0999,upper,random_tangent_3,1.0e-6,-0.09990782556349809,-0.09990791194331748,false,0.10023830124967525,0.10023828770293033,false,0.1,FiniteSolved
seed29_delta0.1_upper_g-0.0999,upper,random_tangent_3,3.0e-6,-0.09990782556349809,-0.09990808470295628,false,0.10023830124967525,0.10021209843953709,false,0.1,FiniteSolved
seed29_delta0.1_upper_g-0.0999,upper,random_tangent_3,1.0e-5,-0.09990782556349809,-0.0999086893616921,false,0.10023830124967525,0.10021200441363019,false,0.1,FiniteSolved
seed29_delta0.1_upper_g-0.0999,upper,random_tangent_3,3.0e-5,-0.09990782556349809,-0.09991041695808012,false,0.10023830124967525,0.10021158109115792,false,0.1,FiniteSolved
seed29_delta0.1_upper_g-0.0999,upper,random_tangent_3,0.0001,-0.09990782556349809,-0.09991646354543819,false,0.10023830124967525,0.10013892909036429,false,0.1,FiniteSolved
seed29_delta0.1_upper_g-0.0999,upper,projected_tangent,1.0e-6,-0.09990782556349809,-0.09990854776446878,false,0.10023830124967525,0.10023923763840409,false,0.1,FiniteSolved
seed29_delta0.1_upper_g-0.0999,upper,projected_tangent,3.0e-6,-0.09990782556349809,-0.09990999216641017,false,0.10023830124967525,0.10021494819881586,false,0.1,FiniteSolved
