point,direction,step_type,epsilon,obj_improves,predicted_obj_change,realized_obj_change,delta_finite_after_step,predicted_delta_change,realized_delta_change,new_status,Delta0
D4_near_boundary,upper,neg_DeltaStar_grad,1.0e-8,false,8.382140707249674e-9,8.382140703755425e-9,true,-2.028890480375661e-7,-1.2629247536644073e-7,FiniteSolved,0.5720613122125435
D4_near_boundary,upper,neg_DeltaStar_grad,3.0e-8,false,2.5146422121749023e-8,2.5146422111266276e-8,true,-6.086671441126982e-7,-3.7887727655228076e-7,FiniteSolved,0.5720613122125435
D4_near_boundary,upper,neg_DeltaStar_grad,1.0e-7,false,8.382140707249674e-8,8.382140706530983e-8,true,-2.0288904803756608e-6,-1.262922509348563e-6,FiniteSolved,0.5720613122125435
D4_near_boundary,upper,neg_DeltaStar_grad,3.0e-7,false,2.5146422121749023e-7,2.5146422122368506e-7,true,-6.086671441126982e-6,-3.788752583888666e-6,FiniteSolved,0.5720613122125435
D4_near_boundary,upper,neg_DeltaStar_grad,1.0e-6,false,8.382140707249674e-7,8.38214070736365e-7,true,-2.0288904803756607e-5,-1.262900102150244e-5,FiniteSolved,0.5720613122125435
D4_near_boundary,upper,neg_DeltaStar_grad,3.0e-6,false,2.5146422121749024e-6,2.5146422121813394e-6,true,-6.086671441126983e-5,-3.788550947025904e-5,FiniteSolved,0.5720613122125435
D4_near_boundary,upper,neg_DeltaStar_grad,1.0e-5,false,8.382140707249675e-6,8.382140707252628e-6,true,-0.0002028890480375661,-0.0001643133198566682,FiniteSolved,0.5720613122125435
D4_near_boundary,upper,neg_DeltaStar_grad,3.0e-5,false,2.5146422121749023e-5,2.5146422121757883e-5,true,-0.0006086671441126982,-0.000466262526445993,FiniteSolved,0.5720613122125435
D4_near_boundary,upper,neg_DeltaStar_grad,0.0001,false,8.382140707249675e-5,8.382140707249852e-5,true,-0.002028890480375661,-0.0014384226703147984,FiniteSolved,0.5720613122125435
D4_near_boundary,upper,projected_tangent,1.0e-8,true,-5.453413349808351e-9,-5.4534133597794465e-9,true,2.9670889561949033e-23,5.286032900286841e-8,FiniteSolved,0.5720613122125435
D4_near_boundary,upper,projected_tangent,3.0e-8,true,-1.636024004942505e-8,-1.6360240051582764e-8,true,8.901266868584709e-23,1.5858101554133697e-7,FiniteSolved,0.5720613122125435
D4_near_boundary,upper,projected_tangent,1.0e-7,true,-5.45341334980835e-8,-5.453413348677216e-8,true,2.967088956194903e-22,5.286037021434709e-7,FiniteSolved,0.5720613122125435
D4_near_boundary,upper,projected_tangent,3.0e-7,true,-1.636024004942505e-7,-1.6360240048807206e-7,true,8.90126686858471e-22,1.585813780624612e-6,FiniteSolved,0.5720613122125435
D4_near_boundary,upper,projected_tangent,1.0e-6,true,-5.45341334980835e-7,-5.453413349787439e-7,true,2.967088956194903e-21,5.2860771460050415e-6,FiniteSolved,0.5720613122125435
D4_near_boundary,upper,projected_tangent,3.0e-6,true,-1.6360240049425051e-6,-1.6360240049362318e-6,true,8.90126686858471e-21,1.5858498900733764e-5,FiniteSolved,0.5720613122125435
D4_near_boundary,upper,projected_tangent,1.0e-5,true,-5.453413349808351e-6,-5.453413349815195e-6,true,2.9670889561949035e-20,1.4817425199709078e-5,FiniteSolved,0.5720613122125435
D4_near_boundary,upper,projected_tangent,3.0e-5,true,-1.6360240049425053e-5,-1.636024004941783e-5,true,8.90126686858471e-20,0.0002541346054061311,FiniteSolved,0.5720613122125435
D4_near_boundary,upper,projected_tangent,0.0001,true,-5.453413349808351e-5,-5.453413349809644e-5,true,2.9670889561949034e-19,0.000806300655568748,FiniteSolved,0.5720613122125435
D4_near_boundary,lower,pure_g,1.0e-8,true,-1.0e-8,-9.999999994736442e-9,true,-1.7006445486108177e-7,-1.3468704362917805e-7,FiniteSolved,0.5720613122125435
D4_near_boundary,lower,pure_g,3.0e-8,true,-3.0e-8,-3.00000000119649e-8,true,-5.101933645832453e-7,-4.0406096069034447e-7,FiniteSolved,0.5720613122125435
D4_near_boundary,lower,pure_g,1.0e-7,true,-1.0e-7,-1.0000000000287557e-7,true,-1.7006445486108176e-6,-1.3468678958794555e-6,FiniteSolved,0.5720613122125435
D4_near_boundary,lower,pure_g,3.0e-7,true,-3.0e-7,-3.000000000086267e-7,true,-5.101933645832453e-6,-4.040586784936906e-6,FiniteSolved,0.5720613122125435
D4_near_boundary,lower,pure_g,1.0e-6,true,-1.0e-6,-1.000000000001e-6,true,-1.7006445486108177e-5,-1.3468425502205505e-5,FiniteSolved,0.5720613122125435
D4_near_boundary,lower,pure_g,3.0e-6,true,-3.0e-6,-3.0000000000030003e-6,true,-5.101933645832453e-5,-4.040358710455383e-5,FiniteSolved,0.5720613122125435
D4_near_boundary,lower,pure_g,1.0e-5,true,-1.0e-5,-1.0000000000010001e-5,true,-0.0001700644548610818,-0.00013465891697750365,FiniteSolved,0.5720613122125435
D4_near_boundary,lower,pure_g,3.0e-5,true,-3.0e-5,-3.0000000000002247e-5,true,-0.0005101933645832454,-0.0004972242473487709,FiniteSolved,0.5720613122125435
D4_near_boundary,lower,pure_g,0.0001,true,-0.0001,-9.999999999998899e-5,true,-0.0017006445486108179,-0.0016203639877068188,FiniteSolved,0.5720613122125435
D4_near_boundary,lower,neg_DeltaStar_grad,1.0e-8,true,-8.382140707249674e-9,-8.382140703755425e-9,true,-2.028890480375661e-7,-1.2629247536644073e-7,FiniteSolved,0.5720613122125435
D4_near_boundary,lower,neg_DeltaStar_grad,3.0e-8,true,-2.5146422121749023e-8,-2.5146422111266276e-8,true,-6.086671441126982e-7,-3.7887727655228076e-7,FiniteSolved,0.5720613122125435
