seed,direction,block,algorithm,delta,best_g,gamma_prime,kappa_ratio,GT,incumbent_source,dlogA,dlogf,DeltaStar,status,wall
49,upper,gamma_technology,active,0.003,-0.05948321558158266,0.9422513485993961,0.9104954087059047,0.08950459129409527,cold_verified,0.0454188864300099,0.0,0.002995518212472131,-200,8.15921401977539
49,upper,gamma_participation,active,0.003,-0.05948203070949416,0.9422524650473808,0.9104961279199199,0.08950387208008015,cold_verified,0.0,0.05507771340342847,0.002788703550296757,-200,1.7912609577178955
49,upper,full_joint,sqp,0.003,-0.06647060403979113,0.9356904209704419,0.9062639485694499,0.09373605143055008,multistart:gamma_only_best,0.025226757344851036,0.027524207940913023,0.0029993563596461903,-101,31.430534839630127
49,upper,gamma_only,active,0.01,-0.07339240403065685,0.929236122474225,0.9020915975058204,0.09790840249417965,cold_verified,0.0,0.0,0.009984049382609673,-200,10.675741910934448
49,upper,gamma_technology,active,0.01,-0.059511373234164194,0.9422248173868077,0.9104783172573934,0.08952168274260663,cold_verified,0.08500263747075044,0.0,0.009989639669663203,-410,23.446599006652832
49,upper,gamma_participation,active,0.01,-0.059522383176898765,0.9422144436026327,0.9104716344058299,0.0895283655941701,cold_verified,0.0,0.12747539567961008,0.009997340493775788,-200,6.912604093551636
49,upper,full_joint,sqp,0.01,-0.07394229058862713,0.9287252884845402,0.9017609594183189,0.09823904058168109,multistart:gamma_only_best,0.046459865119529015,0.05394854462124782,0.0099963236183188,-400,50.45146608352661
49,upper,gamma_only,active,0.03,-0.08603303434010605,0.9175639196009024,0.8945215348335998,0.10547846516640025,cold_verified,0.0,0.0,0.029994948866865594,-200,4.514319896697998
49,upper,gamma_technology,active,0.03,-0.05954169511401831,0.9421962477922435,0.9104599125006525,0.0895400874993475,cold_verified,0.14244918368493134,0.0,0.02998182633802433,-200,10.012045860290527
49,upper,gamma_participation,active,0.03,-0.05957059861448093,0.942169015416117,0.9104423690173409,0.08955763098265912,cold_verified,0.0,0.2179869090252956,0.0299744074507605,-200,9.649152994155884
