label,radius,dir_idx,sign,gp,Delta,feasible,improved
upper_lfixcomposite_sr1_60s,0.001,18,-1.0,0.8926552829168737,0.9993247042360895,true,false
upper_lfixcomposite_sr1_60s,0.001,19,1.0,0.8926634438653368,0.999005932439481,true,false
upper_lfixcomposite_sr1_60s,0.001,19,-1.0,0.8926084730632523,1.0013010905282842,false,false
upper_lfixcomposite_sr1_60s,0.001,20,1.0,0.8926171959111477,1.0010492300009979,false,false
upper_lfixcomposite_sr1_60s,0.001,20,-1.0,0.8926547210174414,0.9989342879713466,true,false
upper_lfixcomposite_sr1_60s,0.001,21,1.0,0.8926880592886742,0.997773356336279,true,false
upper_lfixcomposite_sr1_60s,0.001,21,-1.0,0.8925838576399149,1.0022363827188843,false,false
upper_lfixcomposite_sr1_60s,0.001,22,1.0,0.8928226662101778,0.9920580670032494,true,false
upper_lfixcomposite_sr1_60s,0.001,22,-1.0,0.8924492507184113,1.0080730978957888,false,false
upper_lfixcomposite_sr1_60s,0.001,23,1.0,0.8923159057111162,1.014601372993002,false,false
upper_lfixcomposite_sr1_60s,0.001,23,-1.0,0.8929560112174729,0.9859186882010604,true,false
upper_lfixcomposite_sr1_60s,0.001,24,1.0,0.892559983135741,1.00359564943575,false,false
upper_lfixcomposite_sr1_60s,0.001,24,-1.0,0.8927119337928481,0.9964114671232062,true,false
upper_lfixcomposite_sr1_60s,0.001,25,1.0,0.8926359330167617,1.0002085106932646,false,false
upper_lfixcomposite_sr1_60s,0.001,25,-1.0,0.8926359839118274,1.0000916996099558,false,false
upper_lfixcomposite_sr1_60s,0.001,26,1.0,0.8927604495051136,0.9948329495567768,true,false
upper_lfixcomposite_sr1_60s,0.001,26,-1.0,0.8925114674234755,1.0059351090208484,false,false
upper_lfixcomposite_sr1_60s,0.001,27,1.0,0.8927212877169726,0.9960371636947944,true,false
upper_lfixcomposite_sr1_60s,0.001,27,-1.0,0.8925506292116165,1.0040766811240824,false,false
upper_lfixcomposite_sr1_60s,0.001,28,1.0,0.8931190033935443,0.978732011585255,true,false
upper_lfixcomposite_sr1_60s,0.001,28,-1.0,0.8921529135350448,1.0222832570827034,false,false
upper_lfixcomposite_sr1_60s,0.001,29,1.0,0.892767126510452,0.9944600113572517,true,false
upper_lfixcomposite_sr1_60s,0.001,29,-1.0,0.8925047904181371,1.006291270528566,false,false
upper_lfixcomposite_sr1_60s,0.001,30,1.0,0.8924372642541131,1.0091092098300756,false,false
upper_lfixcomposite_sr1_60s,0.001,30,-1.0,0.892834652674476,0.9910709428309399,true,false
upper_lfixcomposite_sr1_60s,0.001,31,1.0,0.8928308611193747,0.9914324063119837,true,false
upper_lfixcomposite_sr1_60s,0.001,31,-1.0,0.8924410558092144,1.0087320223459566,false,false
upper_lfixcomposite_sr1_60s,0.001,32,1.0,0.8928191819605105,0.9917422413508897,true,false
upper_lfixcomposite_sr1_60s,0.001,32,-1.0,0.8924527349680786,1.0083576843776703,false,false
upper_lfixcomposite_sr1_60s,0.001,33,1.0,0.8927348920327878,0.9954355857095532,true,false
upper_lfixcomposite_sr1_60s,0.001,33,-1.0,0.8925370248958013,1.0045930604436124,false,false
upper_lfixcomposite_sr1_60s,0.001,34,1.0,0.8929149446363396,0.9877550799430591,true,false
upper_lfixcomposite_sr1_60s,0.001,34,-1.0,0.8923569722922495,1.0128804166495262,false,false
upper_lfixcomposite_sr1_60s,0.001,35,1.0,0.8926220320776215,1.0007454638908464,false,false
upper_lfixcomposite_sr1_60s,0.001,35,-1.0,0.8926498848509676,0.9996291118667644,true,false
upper_lfixcomposite_sr1_60s,0.001,36,1.0,0.8931183462605912,0.9787914111807064,true,false
upper_lfixcomposite_sr1_60s,0.001,36,-1.0,0.8921535706679979,1.0223095629890313,false,false
upper_lfixcomposite_sr1_60s,0.005,1,1.0,0.8976359584642946,0.8162966275554686,true,false
